sitrep,report_date,suspected_cases,suspected_deaths,confirmed_cases,confirmed_deaths,samples_received,samples_analysed,positives,new_daily_suspects,new_daily_suspected_deaths,patients_isolated,cumul_recovered,notes
027,2026-06-10,,,676,136,,,,119,50,262,32,"confirmed-based format; banner Cumul cas confirmes 676, Cumul deces confirmes 136 (20.1% lethality), patients en isolement 262 (63.9%), cumul gueris 32, cas suspects du jour 119 (50 deces), taux de suivi contacts 71.8%; 41 new confirmed incl 9 deaths (Ituri: Bunia 12, Mongbwalu 5, Rwampara 4, Bambu 2, Nizi 2, Lita 1, Nyankunde 1, Mangala 1, Kambala 1; Nord-Kivu: Beni 4, Katwa 4, Butembo 1, Kyondo 1, Masereka 1, Vuhovi 1); 3 new zones (Masereka, Vuhovi in Nord-Kivu; Kambala in Ituri); no national cumulative suspected total; lab 24h Ituri-only (109 analysed 26.6% positive n=29), included in the 24h analysed series (denominator 109; national confirmed increment 41 <= 109, so the Binomial is valid; partial coverage as the 24h block omits Nord-Kivu's analysed count); beyond cut-off"
028,2026-06-11,,,689,139,,,,168,64,315,32,"confirmed-based format; banner Cumul cas confirmes 689 (donnees en cours d'harmonisation; Nord-Kivu revise a la baisse 44->40), Cumul deces confirmes 139 (20.2% lethality), patients en isolement 315 (69.7%), cumul gueris 32, cas suspects du jour 168 (64 deces), taux de suivi contacts 69.7%; 17 new confirmed incl 5 deaths (all Ituri: Bunia 6, Rwampara 5, Mongbwalu 4, Nizi 2), net cumulative +13 (676->689) after the Nord-Kivu downward revision; spatial table Ituri 646/114, Nord-Kivu 40/24, Sud-Kivu 3/1 = 689/139; no national cumulative suspected total; lab 24h Ituri-only (35 analysed 48.6% positive n=17), Nord-Kivu 172 pending (delai >5 jours), Sud-Kivu none, so 35 is the complete national 24h analysed total, included in the 24h analysed series (confirmed increment 13 <= 35); beyond cut-off"
030,2026-06-13,,,782,181,,,,136,49,359,40,"confirmed-based format; banner Cumul cas confirmes 782 (donnees en cours d'harmonisation), Cumul deces confirmes 181 (23.1% lethality), patients en isolement 359 (82.9% bed occupancy; Tableau IV Fin J Ituri 310 / Nord-Kivu 42 / Sud-Kivu 7 = 359), cumul gueris 40, cas suspects du jour 136 (49 deces), taux de suivi contacts 56.5%; 72 new confirmed incl 29 deaths (Ituri 56, Nord-Kivu 16; zones Mongbwalu 25, Bunia 13, Rwampara 6, Nyankunde 5, Komanda 3, Nizi 2, Damas 1, Nia-Nia 1 in Ituri; Butembo 11, Katwa 4, Mabalako 1 in Nord-Kivu); 2 new zones (Nia-Nia in Ituri, Mabalako in Nord-Kivu); spatial table Ituri 717/146, Nord-Kivu 62/34, Sud-Kivu 3/1 = 782/181; SitRep 029 (12 June) not published upstream (series steps 11->13 June); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 139 (40.3% positive n=56) + Sud-Kivu 8 (0 positive) + Nord-Kivu 34 (16 positive 47.1%) = 181 (clean national total, every reporting province gives an analysed count; confirmed increment 72 <= 181), included in the 24h analysed series; beyond cut-off"
031,2026-06-14,,,808,192,,,,165,54,363,48,"confirmed-based format; banner Cumul cas confirmes 808 (donnees en cours d'harmonisation), Cumul deces confirmes 192 (23.8% lethality), patients en isolement 363 (83.8% bed occupancy; Tableau V Patients en isolement Fin J Ituri 313 / Nord-Kivu 44 / Sud-Kivu 6 = 363), cumul gueris 48, cas suspects du jour 165 (54 deces), taux de suivi contacts 63.1%; 26 new confirmed incl 11 deaths (Ituri 21, Nord-Kivu 5; zones Mongbwalu 11, Nyankunde 4, Bunia 3, Rwampara 3 in Ituri; Butembo 4, Katwa 1 in Nord-Kivu); spatial table Ituri 738/153, Nord-Kivu 67/38, Sud-Kivu 3/1 = 808/192; no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 101 (20.8% positive n=21) + Nord-Kivu 38 (5 positive 13.1%) + Sud-Kivu 3 (0 positive) = 142 (clean national total, every reporting province gives an analysed count, Nord-Kivu 66 pending excluded; confirmed increment 26 <= 142, 24h positives 21+5+0=26 match the confirmed increment), included in the 24h analysed series; beyond cut-off"
032,2026-06-15,,,837,196,,,,235,61,376,49,"confirmed-based format; banner Cumul cas confirmes 837 (donnees en cours d'harmonisation), Cumul deces confirmes 196 (23.4% lethality), patients en isolement 376 (86.8% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 321 / Nord-Kivu 45 / Sud-Kivu 10 = 376), cumul gueris 49 (1 new, Mongbwalu), cas suspects du jour 235 (61 deces), taux de suivi contacts 64.4%; 29 new confirmed incl 4 deaths (all Ituri: Mongbwalu 10, Rwampara 7, Nizi 5, Nyankunde 3, Lita 3, Komanda 1); Nord-Kivu and Sud-Kivu 0 new confirmed; spatial table Ituri 767/157, Nord-Kivu 67/38, Sud-Kivu 3/1 = 837/196; no national cumulative suspected total; lab 4.3 Ituri 130 analysed (22.3% positive n=29) + Sud-Kivu 7 analysed (0 positive) = 137, Nord-Kivu reports no 24h analysed count in section 4.3 (contributes 0 like a non-reporting province, as on 11 June) -> INCLUDED in the 24h analysed series (confirmed increment 29 <= 137, and the 24h positives 29 + 0 = 29 equal the confirmed increment; all 29 new confirmations are Ituri with Nord-Kivu and Sud-Kivu adding none, so 137 is the complete national analysed-that-day among reporting provinces; precedent: 10 and 11 June Ituri-only/Ituri-dominated included); beyond cut-off"
033,2026-06-16,,,875,202,,,,192,46,379,67,"confirmed-based format; banner Cumul cas confirmes 875 (donnees en cours d'harmonisation), Cumul deces confirmes 202 (23.1% lethality), patients en isolement 379 (87.5% bed occupancy; Tableau 5 Patients en isolement Fin J Ituri 318 / Nord-Kivu 46 / Sud-Kivu 15 = 379), cumul gueris 67 (18 new), cas suspects du jour 192 (46 deces), taux de suivi contacts 71.6%; 40 new confirmed incl 4 deaths (Ituri 32 incl 1 death: Rwampara 13, Bunia 11, Mongbwalu 4, Tchomia 3, Fataki 1; Nord-Kivu 8 incl 3 deaths: Butembo 4, Katwa 2, Oicha 1, Musienene 1), net cumulative +38 (837->875) after harmonisation; 2 new zones (Fataki in Ituri, Musienene in Nord-Kivu); no national cumulative suspected total; NO laboratory section published in this report (sections 4.1-4.8 are Coordination/Surveillance/PCI/Prise en charge/Continuite/Communication/Logistique/Securite, with no per-province echantillons-analyses block; the SMSPS Tableau 6 'Resultats de laboratoire ayant ete annonces' counts results returned to patients for psychosocial follow-up, not the 24h analysed denominator), so 16 June is EXCLUDED from the fitted 24h analysed series; beyond cut-off"
034,2026-06-17,,,896,232,,,,151,35,383,78,"confirmed-based format; banner Cumul cas confirmes 896 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 232 (26.3% lethality; +30 over 196->202->232 across the harmonisation, of which only 6 are among the day's new confirmed - the rest late-confirmed deaths reconciled into the cleaned base), patients en isolement 383 (93.6% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 335 / Nord-Kivu 48; Sud-Kivu ND = 383), cumul gueris 78 (11 new), cas suspects du jour 151 (35 deces), taux de suivi contacts 71.1%; 21 new confirmed incl 6 deaths (Ituri 16 incl 4 deaths: Bunia 4, Mongbwalu 4, Nizi 2, Lita 2, Komanda 1, Mangala 1, Nyankunde 1, Kilo 1; Nord-Kivu 5 incl 2 deaths: Beni 2, Katwa 2, Butembo 1), net cumulative +21 (875->896); 56 cas probables potentiels en cours de validation (a probable case = a death in a suspect with no swab but an epi link to a confirmed case/chain); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 126 (12.7% positive n=16) + Nord-Kivu 70 (7.1% positive n=5) + Sud-Kivu 2 (0 positive) = 198 (clean national total, every reporting province gives an analysed count; confirmed increment 21 <= 198, and the 24h positives 16+5+0=21 equal the confirmed increment), INCLUDED in the 24h analysed series; beyond cut-off"
035,2026-06-18,,,933,245,,,,238,54,416,80,"confirmed-based format; banner Cumul cas confirmes 933 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 245 (26.3% lethality), patients en isolement 416 (94.3% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 349 / Nord-Kivu 56 / Sud-Kivu 11 = 416), cumul gueris 80 (2 new), cas suspects du jour 238 (54 deces), taux de suivi contacts 72.3%; 36 new confirmed incl 12 deaths (Ituri 35 incl 12 deaths: Mongbwalu 9, Nyankunde 9, Bunia 6, Rwampara 4, Mangala 2, Aungba 2, Lita 2, Nizi 1; Nord-Kivu 1: Beni 1), net cumulative +37 (896->933) after DHIS2 harmonisation; spatial table Ituri 853/199, Nord-Kivu 77/45, Sud-Kivu 3/1 = 933/245; no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 101 (34.6% positive n=35) + Nord-Kivu 79 (1.3% positive n=1) = 180 (Sud-Kivu 10 collected en cours d'analyse, contributes 0 like a pending/non-reporting province; clean national total - every reporting province gives an analysed count; confirmed increment 37 <= 180, and the 24h positives 35+1+0=36 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; beyond cut-off"
036,2026-06-19,,,956,247,,,,162,47,361,92,"confirmed-based format; banner Cumul cas confirmes 956 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 247 (25.8% lethality), patients en isolement 361 (88.3% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 307 / Nord-Kivu 54; Sud-Kivu ND = 361), cumul gueris 92 (12 new), cas suspects du jour 162 (47 deces), taux de suivi contacts 69.3%; 23 new confirmed incl 2 deaths (Ituri 21 incl 2 deaths: Mongbwalu 11, Bunia 6, Nyankunde 2, Rwampara 2; Nord-Kivu 2: Katwa 2), net cumulative +23 (933->956), net deaths +2 (245->247); spatial table Ituri 874/201, Nord-Kivu 79/45, Sud-Kivu 3/1 = 956/247; no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 101 (20.8% positive n=21) + Nord-Kivu 15 (13.3% positive n=2) = 116 (Nord-Kivu 16 collected dont 15 analyses; Sud-Kivu 'aucune mise a jour partagee', contributes 0 like a non-reporting province; clean national total - every reporting province gives an analysed count; confirmed increment 23 <= 116, and the 24h positives 21+2=23 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; beyond cut-off"
037,2026-06-20,,,1003,254,,,,201,30,365,100,"confirmed-based format; banner Cumul cas confirmes 1003 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 254 (25.3% lethality), patients en isolement 365 (82.8% bed occupancy), cumul gueris 100 (8 new: 6 Ituri, 2 Sud-Kivu), cas suspects du jour 201 (30 deces), taux de suivi contacts 67.0%; 47 new confirmed incl 7 deaths (Ituri 42 incl 4 deaths: Bunia 16, Mongbwalu 11, Rwampara 10, Bambu 5; Nord-Kivu 5 incl 3 deaths: Katwa 2, Butembo 2, Beni 1), net cumulative +47 (956->1003), net deaths +7 (247->254); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 119 (35.2% positive n=42) + Nord-Kivu 39 (12.8% positive n=5) + Sud-Kivu 5 (0 positive) = 163 (clean national total - every reporting province gives an analysed count, no pending caveat; confirmed increment 47 <= 163, and the 24h positives 42+5+0=47 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; beyond cut-off"
038,2026-06-21,,,1048,267,,,,202,60,371,112,"confirmed-based format; banner Cumul cas confirmes 1048 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 267 (25.5% lethality), patients en isolement 371 (84.1% bed occupancy), cumul gueris 112 (12 new: 9 Ituri, 3 Nord-Kivu), cas suspects du jour 202 (60 deces), taux de suivi contacts 70.8%; 45 new confirmed incl 13 deaths (Ituri 38 incl 11 deaths: Bunia 10, Mongbwalu 9, Nyankunde 7, Rwampara 4, Mangala 4, Tchomia 2, Lita 1, Nia-Nia 1; Nord-Kivu 7 incl 2 deaths: Katwa 3, Beni 1, Butembo 1, Kyondo 1, Musienene 1), net cumulative +45 (1003->1048), net deaths +13 (254->267); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 243 (15.6% positive n=32) + Nord-Kivu 91 (7.7% positive n=7) + Sud-Kivu 3 (0 positive) = 337 (Nord-Kivu 52 en cours d'analyse a Beni 4 + Butembo 48 excluded; clean national total - every reporting province gives an analysed count; confirmed increment 45 <= 337, but the 24h positives 32+7+0=39 fall below the day's new-confirmed headline 45, the harmonised new-confirmed including late/reclassified confirmations), INCLUDED in the 24h analysed series; beyond cut-off"
039,2026-06-22,,,1094,277,,,,131,44,387,115,"confirmed-based format; banner Cumul cas confirmes 1094 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 277 (25.3% lethality), patients en isolement 387 (76.8% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 321 / Nord-Kivu 56 / Sud-Kivu 10 = 387), cumul gueris 115 (3 new, all Ituri), cas suspects du jour 131 (44 deces), taux de suivi contacts 72.8%; 46 new confirmed incl 10 deaths (Ituri 43 incl 10 deaths: Bunia 11, Rwampara 10, Mongbwalu 8, Nizi 4, Mangala 3, Lita 3, Logo 3, Tchomia 1; Nord-Kivu 3 incl 0 deaths: Beni 2, Katwa 1), net cumulative +46 (1048->1094), net deaths +10 (267->277); spatial table Ituri 997/226, Nord-Kivu 94/50, Sud-Kivu 3/1 = 1094/277; aucune nouvelle zone de sante (reste 34/104); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 100 (43.0% positive n=43) + Nord-Kivu 65 (4.6% positive n=3) = 165 (Nord-Kivu 73 collected dont 65 analyses, 8 en cours d'analyse excluded; Sud-Kivu not reported in section 4.3, contributes 0 like a non-reporting province; clean national total - every reporting province gives an analysed count; confirmed increment 46 <= 165, and the 24h positives 43+3+0=46 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; beyond cut-off"
040,2026-06-23,,,1118,291,,,,138,45,408,122,"confirmed-based format; banner Cumul cas confirmes 1118 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 291 (26.0% lethality), patients en isolement 408 (81.0% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 337 / Nord-Kivu 59 / Sud-Kivu 12 = 408), cumul gueris 122 (7 new, all Ituri), cas suspects du jour 138 (45 deces), taux de suivi contacts 77.1%; 24 new confirmed incl 12 deaths (Ituri 23 incl 12 deaths: Bunia 8, Mongbwalu 4, Komanda 3, Mangala 3, Nia-Nia 3, Lita 2; Nord-Kivu 1 incl 0 deaths: Butembo 1), net cumulative +24 (1094->1118), net deaths +14 (277->291): 12 among the day's new confirmed (all Ituri) + 2 additional Nord-Kivu deaths among previously confirmed cases (Kyondo 1, Musienne 1); spatial table Ituri 1020/238, Nord-Kivu 95/52, Sud-Kivu 3/1 = 1118/291; aucune nouvelle zone de sante (reste 34/104); no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 74 (31.1% positive n=23) + Nord-Kivu 39 (2.6% positive n=1) + Sud-Kivu 7 (0 positive) = 120 (Nord-Kivu 76 collected dont 39 analyses, 37 not yet analysed excluded; clean national total - every reporting province gives an analysed count, no pending caveat; confirmed increment 24 <= 120, and the 24h positives 23+1+0=24 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; beyond cut-off"
041,2026-06-24,,,1155,304,,,,154,40,385,138,"confirmed-based format; banner Cumul cas confirmes 1155 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 304 (26.3% lethality), patients en isolement 385 (74.9% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 313 / Nord-Kivu 59 / Sud-Kivu 13 = 385, Nord-Kivu Tableau 6 figures carried forward from 23 June per report footnote as 24 June Nord-Kivu data unavailable at consolidation), cumul gueris 138 (16 new, all Ituri), cas suspects du jour 154 (40 deces), taux de suivi contacts 79.2%; 37 new confirmed incl 5 deaths (Ituri 34 incl 4 deaths: Rwampara 12, Bunia 10, Nyankunde 5, Mongbwalu 4, Bambu 2, Tchomia 1; Nord-Kivu 3 incl 1 death: Butembo 2, Katwa 1), net cumulative +37 (1118->1155); plus 8 in-care CTE deaths in Ituri (4 Bunia, 2 Mongbwalu, 1 Nyankunde, 1 Rwampara), net deaths +13 (291->304); spatial table Ituri 1054/250, Nord-Kivu 98/53, Sud-Kivu 3/1 = 1155/304; aucune nouvelle zone de sante (reste 34/104); Tableau 6 admissions 73, deces 14, non-cas 47, gueris 16, evades 1, au-lit J-1 390, balance 390+73-78=385; no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 134 (25.0% positive n=34) + Nord-Kivu 97 (3.1% positive n=3, of 117 received, 20 en cours d'analyse excluded) + Sud-Kivu 6 (0 positive) = 237 (clean national total - every reporting province gives an analysed count; confirmed increment 37 <= 237, and the 24h positives 34+3+0=37 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; one confirmed case exported to France (medecin reanimateur from Bunia/Alima, symptoms in-flight); beyond cut-off"
042,2026-06-25,,,1203,321,,,,265,77,419,148,"confirmed-based format; banner Cumul cas confirmes 1203 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 321 (26.7% lethality), patients en isolement 419 (80.7% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 334 / Nord-Kivu 68 / Sud-Kivu 17 = 419), cumul gueris 148 (10 new, all Ituri), cas suspects du jour 265 (77 deces), taux de suivi contacts 82.8%; 48 new confirmed incl 11 deaths (Ituri 42 incl 7 deaths: Rwampara 21, Bunia 9, Mongbwalu 5, Nyankunde 2, Nizi 2, Logo 2, Tchomia 1; Nord-Kivu 6 incl 4 deaths: Beni 2, Butembo 2, Katwa 2), net cumulative +48 (1155->1203); plus 6 in-care CTE deaths in Ituri (3 Mongbwalu, 1 Bunia, 1 Nyankunde, 1 Bambu), net deaths +17 (304->321); aucune nouvelle zone de sante (reste 34/104); Tableau 6 admissions 76, deces 7, non-cas 21, gueris 10, evades 1, au-lit J-1 382, balance 382+76-39=419; no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 165 (25.4% positive n=42) + Nord-Kivu 95 (6.3% positive n=6) + Sud-Kivu 4 (0 positive) = 264 (clean national total - every reporting province gives an analysed count, no pending caveat; confirmed increment 48 <= 264, and the 24h positives 42+6+0=48 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; beyond cut-off"
044,2026-06-27,,,1274,360,,,,239,70,502,178,"confirmed-based format; banner Cumul cas confirmes 1274 (Donnees reactualisees a la suite du nettoyage et harmonisation de la base DHIS2), Cumul deces confirmes 360 (28.3% lethality), patients en isolement 502 (96.7% bed occupancy; Tableau 6 Patients en isolement Fin J Ituri 338 / Nord-Kivu 143 / Sud-Kivu 21 = 502), cumul gueris 178 (15 new, all Ituri; section 4.5 cumul 178 dont 168 Ituri, 8 Nord-Kivu, 2 Sud-Kivu), cas suspects du jour 239 (70 deces), taux de suivi contacts 87.1%; 47 new confirmed incl 12 deaths (Ituri 45 incl 11 deaths: Rwampara 19, Bunia 6, Mongbwalu 5, Nizi 3, Komanda 3, Drodro 2, Bambu 2, Damas 1, Lita 1, Mangala 1, Mandima 1, Nyankunde 1; Nord-Kivu 2 incl 1 death: Katwa 2), net cumulative +71 (1203->1274) spanning the unpublished 26 June (SitRep 043) and 27 June; plus 10 in-care CTE deaths in Ituri (5 Mongbwalu, 2 Bunia/CTE Elikya, 1 Nyankunde, 1 Komanda, 1 Rwampara/CTE ISTM); spatial table Ituri 1165/301, Nord-Kivu 106/58, Sud-Kivu 3/1 = 1274/360; 1 new zone de sante (Mandima, Ituri; 35/104 total); Tableau 6 admissions 74, deces 16, non-cas 24, gueris 15, evades 1, au-lit J-1 484, balance 484+74-56=502; no national cumulative suspected total; lab 4.3 national 24h analysed Ituri 162 (27.7% positive n=45) + Nord-Kivu 99 (n=2, of 115 received, 16 en cours d'analyse a Beni 11 + Butembo 5 excluded) + Sud-Kivu 4 (0 positive) = 265 (clean national total - every reporting province gives an analysed count; confirmed increment 47 <= 265, and the 24h positives 45+2+0=47 equal the day's new-confirmed headline), INCLUDED in the 24h analysed series; SitRep 043 (26 June) not published upstream (series steps 25->27 June); beyond cut-off"
